Časovna Značka (CEST/CET);Poraba [kWh];Dinamične Cene [EUR/kWh]
2024-08-02T06:45:00+02:00;5;0,11722
2024-08-02T07:00:00+02:00;0,05;0,1187
2024-08-02T07:15:00+02:00;0;0,1187
2024-08-02T07:30:00+02:00;0;0,1187
2024-08-02T07:45:00+02:00;0;0,1187
2024-08-02T08:00:00+02:00;0;0,11244
2024-08-02T08:15:00+02:00;0,125;0,11244
2024-08-02T08:30:00+02:00;0;0,11244
2024-08-02T08:45:00+02:00;0;0,11244
2024-08-02T09:00:00+02:00;0;0,10442
2024-08-02T09:15:00+02:00;0;0,10442
2024-08-02T09:30:00+02:00;0;0,10442
2024-08-02T09:45:00+02:00;0;0,10442
2024-08-02T10:00:00+02:00;0;0,08638
2024-08-02T10:15:00+02:00;0;0,08638
2024-08-02T10:30:00+02:00;0;0,08638
2024-08-02T10:45:00+02:00;0;0,08638
2024-08-02T11:00:00+02:00;0;0,07436
2024-08-02T11:15:00+02:00;0;0,07436
2024-08-02T11:30:00+02:00;0;0,07436
2024-08-02T11:45:00+02:00;0;0,07436
2024-08-02T12:00:00+02:00;0;0,07211
2024-08-02T12:15:00+02:00;0;0,07211
2024-08-02T12:30:00+02:00;0;0,07211
2024-08-02T12:45:00+02:00;0;0,07211
2024-08-02T13:00:00+02:00;0;0,06318
2024-08-02T13:15:00+02:00;0;0,06318
2024-08-02T13:30:00+02:00;4,25;0,06318
2024-08-02T13:45:00+02:00;0;0,06318
2024-08-02T14:00:00+02:00;0;0,06195
2024-08-02T14:15:00+02:00;0;0,06195
2024-08-02T14:30:00+02:00;0;0,06195
2024-08-02T14:45:00+02:00;0;0,06195
2024-08-02T15:00:00+02:00;0,375;0,06572
2024-08-02T15:15:00+02:00;0,075;0,06572
2024-08-02T15:30:00+02:00;0;0,06572
2024-08-02T15:45:00+02:00;0;0,06572
2024-08-02T16:00:00+02:00;0,25;0,07522
2024-08-02T16:15:00+02:00;10,475;0,07522
2024-08-02T16:30:00+02:00;13,05;0,07522
2024-08-02T16:45:00+02:00;6,25;0,07522
2024-08-02T17:00:00+02:00;1,5;0,09634
2024-08-02T17:15:00+02:00;0,25;0,09634
2024-08-02T17:30:00+02:00;0;0,09634
2024-08-02T17:45:00+02:00;0;0,09634
2024-08-02T18:00:00+02:00;4,65;0,12286
2024-08-02T18:15:00+02:00;1,325;0,12286
2024-08-02T18:30:00+02:00;0,7;0,12286
2024-08-02T18:45:00+02:00;5,375;0,12286
2024-08-02T19:00:00+02:00;12,4;0,16695
2024-08-02T19:15:00+02:00;18,325;0,16695
2024-08-02T19:30:00+02:00;17,075;0,16695
2024-08-02T19:45:00+02:00;27,475;0,16695
2024-08-02T20:00:00+02:00;32,475;0,23143
2024-08-02T20:15:00+02:00;35,3525;0,23143
2024-08-02T20:30:00+02:00;33,885;0,23143
2024-08-02T20:45:00+02:00;34,6575;0,23143
2024-08-02T21:00:00+02:00;33,5325;0,12973
2024-08-02T21:15:00+02:00;33,4075;0,12973
2024-08-02T21:30:00+02:00;32,1075;0,12973
2024-08-02T21:45:00+02:00;33,3825;0,12973
2024-08-02T22:00:00+02:00;28,5575;0,11144
2024-08-02T22:15:00+02:00;30,4325;0,11144
2024-08-02T22:30:00+02:00;28,7075;0,11144
2024-08-02T22:45:00+02:00;30,6575;0,11144
2024-08-02T23:00:00+02:00;27,4825;0,10753
2024-08-02T23:15:00+02:00;31,4325;0,10753
2024-08-02T23:30:00+02:00;26,6075;0,10753
2024-08-02T23:45:00+02:00;29,2575;0,10753
2024-08-03T00:00:00+02:00;27,8325;0,11602
2024-08-03T00:15:00+02:00;27,7825;0,11602
2024-08-03T00:30:00+02:00;25,4825;0,11602
2024-08-03T00:45:00+02:00;27,5575;0,11602
2024-08-03T01:00:00+02:00;27,8075;0,11185
2024-08-03T01:15:00+02:00;28,6825;0,11185
2024-08-03T01:30:00+02:00;30,2575;0,11185
2024-08-03T01:45:00+02:00;29,1825;0,11185
2024-08-03T02:00:00+02:00;29,4075;0,08286
2024-08-03T02:15:00+02:00;29,1075;0,08286
2024-08-03T02:30:00+02:00;28,5075;0,08286
2024-08-03T02:45:00+02:00;28,0075;0,08286
2024-08-03T03:00:00+02:00;27,8325;0,07739
2024-08-03T03:15:00+02:00;29,9825;0,07739
2024-08-03T03:30:00+02:00;28,6575;0,07739
2024-08-03T03:45:00+02:00;28,7325;0,07739
2024-08-03T04:00:00+02:00;26,1075;0,07459
2024-08-03T04:15:00+02:00;28,5075;0,07459
2024-08-03T04:30:00+02:00;26,9325;0,07459
2024-08-03T04:45:00+02:00;29,5825;0,07459
2024-08-03T05:00:00+02:00;26,9325;0,08252
2024-08-03T05:15:00+02:00;28,9075;0,08252
2024-08-03T05:30:00+02:00;27,0325;0,08252
2024-08-03T05:45:00+02:00;27,72;0,08252
2024-08-03T06:00:00+02:00;20,6;0,08852
2024-08-03T06:15:00+02:00;18,275;0,08852
2024-08-03T06:30:00+02:00;9,275;0,08852
2024-08-03T06:45:00+02:00;0,25;0,08852
2024-08-03T07:00:00+02:00;3,35;0,08222
2024-08-03T07:15:00+02:00;1,3;0,08222
2024-08-03T07:30:00+02:00;0,15;0,08222
2024-08-03T07:45:00+02:00;0;0,08222
2024-08-03T08:00:00+02:00;0,075;0,07362
2024-08-03T08:15:00+02:00;0;0,07362
2024-08-03T08:30:00+02:00;0;0,07362
2024-08-03T08:45:00+02:00;0;0,07362
2024-08-03T09:00:00+02:00;0;0,05753
2024-08-03T09:15:00+02:00;0,125;0,05753
2024-08-03T09:30:00+02:00;0;0,05753
2024-08-03T09:45:00+02:00;0;0,05753
2024-08-03T10:00:00+02:00;0;0,03244
2024-08-03T10:15:00+02:00;0;0,03244
2024-08-03T10:30:00+02:00;0;0,03244
2024-08-03T10:45:00+02:00;0;0,03244
2024-08-03T11:00:00+02:00;0;0,02036
2024-08-03T11:15:00+02:00;0;0,02036
2024-08-03T11:30:00+02:00;0;0,02036
2024-08-03T11:45:00+02:00;0;0,02036
2024-08-03T12:00:00+02:00;3,025;0,01466
2024-08-03T12:15:00+02:00;1,975;0,01466
2024-08-03T12:30:00+02:00;2;0,01466
2024-08-03T12:45:00+02:00;1,9;0,01466
2024-08-03T13:00:00+02:00;2,25;0,00641
2024-08-03T13:15:00+02:00;2,55;0,00641
2024-08-03T13:30:00+02:00;2,45;0,00641
2024-08-03T13:45:00+02:00;2,8;0,00641
2024-08-03T14:00:00+02:00;2,925;0,00474
2024-08-03T14:15:00+02:00;2,575;0,00474
2024-08-03T14:30:00+02:00;2,55;0,00474
2024-08-03T14:45:00+02:00;2,5;0,00474
2024-08-03T15:00:00+02:00;2,375;0,01777
2024-08-03T15:15:00+02:00;2,325;0,01777
2024-08-03T15:30:00+02:00;2,475;0,01777
2024-08-03T15:45:00+02:00;2,675;0,01777
2024-08-03T16:00:00+02:00;0,025;0,04213
2024-08-03T16:15:00+02:00;0;0,04213
2024-08-03T16:30:00+02:00;0;0,04213
2024-08-03T16:45:00+02:00;0;0,04213
2024-08-03T17:00:00+02:00;0;0,08021
2024-08-03T17:15:00+02:00;0;0,08021
2024-08-03T17:30:00+02:00;0;0,08021
2024-08-03T17:45:00+02:00;0;0,08021
2024-08-03T18:00:00+02:00;0;0,11026
2024-08-03T18:15:00+02:00;0;0,11026
2024-08-03T18:30:00+02:00;0;0,11026
2024-08-03T18:45:00+02:00;0;0,11026
2024-08-03T19:00:00+02:00;0,025;0,12819
2024-08-03T19:15:00+02:00;5,125;0,12819
2024-08-03T19:30:00+02:00;13,275;0,12819
2024-08-03T19:45:00+02:00;20,075;0,12819
2024-08-03T20:00:00+02:00;25,225;0,16801
2024-08-03T20:15:00+02:00;28,905;0,16801
2024-08-03T20:30:00+02:00;28,4675;0,16801
2024-08-03T20:45:00+02:00;30,3825;0,16801
2024-08-03T21:00:00+02:00;26,4825;0,13244
2024-08-03T21:15:00+02:00;30,3075;0,13244
2024-08-03T21:30:00+02:00;27,2075;0,13244
2024-08-03T21:45:00+02:00;27,7575;0,13244
2024-08-03T22:00:00+02:00;27,5075;0,11435
2024-08-03T22:15:00+02:00;27,6325;0,11435
2024-08-03T22:30:00+02:00;25,2575;0,11435
2024-08-03T22:45:00+02:00;27,5825;0,11435
2024-08-03T23:00:00+02:00;27,5325;0,09894
2024-08-03T23:15:00+02:00;28,4575;0,09894
2024-08-03T23:30:00+02:00;26,1075;0,09894
2024-08-03T23:45:00+02:00;27,5825;0,09894
2024-08-04T00:00:00+02:00;25,2075;0,09693
2024-08-04T00:15:00+02:00;26,9325;0,09693
2024-08-04T00:30:00+02:00;24,9075;0,09693
2024-08-04T00:45:00+02:00;27,3325;0,09693
2024-08-04T01:00:00+02:00;24,8325;0,08917
2024-08-04T01:15:00+02:00;26,1075;0,08917
2024-08-04T01:30:00+02:00;24,6575;0,08917
2024-08-04T01:45:00+02:00;26,4575;0,08917
2024-08-04T02:00:00+02:00;25,5325;0,08481
2024-08-04T02:15:00+02:00;26,4575;0,08481
2024-08-04T02:30:00+02:00;25,4825;0,08481
2024-08-04T02:45:00+02:00;25,7075;0,08481
2024-08-04T03:00:00+02:00;23,9825;0,07761
2024-08-04T03:15:00+02:00;26,0325;0,07761
2024-08-04T03:30:00+02:00;23,9075;0,07761
2024-08-04T03:45:00+02:00;26,5325;0,07761
2024-08-04T04:00:00+02:00;23,4575;0,07486
2024-08-04T04:15:00+02:00;27,1825;0,07486
2024-08-04T04:30:00+02:00;23,8075;0,07486
2024-08-04T04:45:00+02:00;26,0825;0,07486
2024-08-04T05:00:00+02:00;24,1575;0,07018
2024-08-04T05:15:00+02:00;26,5825;0,07018
2024-08-04T05:30:00+02:00;23,46;0,07018
2024-08-04T05:45:00+02:00;27,1425;0,07018
2024-08-04T06:00:00+02:00;23,225;0,06578
2024-08-04T06:15:00+02:00;19,3;0,06578
2024-08-04T06:30:00+02:00;11,1;0,06578
2024-08-04T06:45:00+02:00;1,225;0,06578
2024-08-04T07:00:00+02:00;0,3;0,06307
2024-08-04T07:15:00+02:00;9,55;0,06307
2024-08-04T07:30:00+02:00;13,575;0,06307
2024-08-04T07:45:00+02:00;15,125;0,06307
2024-08-04T08:00:00+02:00;17,45;0,06486
2024-08-04T08:15:00+02:00;5,975;0,06486
2024-08-04T08:30:00+02:00;1,2;0,06486
2024-08-04T08:45:00+02:00;0;0,06486
2024-08-04T09:00:00+02:00;0;0,02885
2024-08-04T09:15:00+02:00;0;0,02885
2024-08-04T09:30:00+02:00;0;0,02885
2024-08-04T09:45:00+02:00;0;0,02885
